Continent,Country_Code,Year,Total_USD_pc,Govt_USD_pc,OOP_USD_pc
Africa,NGA,2000,17.15887642,3.14261231,10.32313394
Africa,NGA,2001,17.96053314,4.82983931,10.91063166
Africa,NGA,2002,17.53752899,3.74130693,11.40801396
Africa,NGA,2003,37.91439438,6.97598615,27.60712259
Africa,NGA,2004,42.81798172,11.10750435,27.63809471
Africa,NGA,2005,52.24337006,13.35157022,34.46521766
Africa,NGA,2006,63.63072205,13.47811309,44.83344538
Africa,NGA,2007,66.90659332,13.32343949,47.46188905
Africa,NGA,2008,77.45053101,13.84370424,56.35063234
Africa,NGA,2009,65.71811676,10.46315192,48.94352778
Africa,NGA,2010,73.008255,9.93226423,56.12691009
Africa,NGA,2011,80.2377243,11.58286836,59.95775632
Africa,NGA,2012,87.89523315,14.24091812,64.02669846
Africa,NGA,2013,97.29588318,13.9167045,69.00879162
Africa,NGA,2014,102.3988876,13.6372211,73.57789252
Africa,NGA,2015,92.91207123,15.28008435,66.79456239
Africa,NGA,2016,75.52328491,9.83383535,56.78371675
Africa,NGA,2017,70.31814575,9.99456509,54.41772136
Africa,NGA,2018,63.60244751,10.23889638,48.3033845
Africa,NGA,2019,67.6254425,10.64177071,48.35017884
Africa,NGA,2020,67.91384888,10.16464764,50.71519817
Africa,NGA,2021,81.87322235,10.86676015,62.42290286
Africa,NGA,2022,89.62958527,13.18880372,67.88352569
Africa,NGA,2023,66.82009125,9.58141407,48.04686373
